ID,Street,City,ZipCode,State,County,Proportion_60+,MedianIncome,Dist_from_GolfCourse,Dist_from_Lake,GatedCommunity,Pool,Priority,SolarPanels,XmasLights,GutterCleaning,WindowCleaning,SeniorCommunity,CensusYear,CensusBlock,FullFipsBlock,Trees,Latitude,Longitude,SquareFeet,NumStories,SoldPrice,SoldDate,YearBuilt,Bedrooms,Bathrooms,Comments
0,2301 BEAMREACH CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,False,1,True,,,,,2021,2012,60610235022012,,38.842256,-121.260546,,,,,,,,
1,2239 GEMSTONE LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,True,1,True,,,,,2021,2012,60610235022012,,38.842663,-121.260243,,,,,,,,
2,2423 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.842764,-121.259678,,,,,,,,
3,2147 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,True,1,True,,,,,2021,2018,60610235022018,,38.842803,-121.262797,,,,,,,,
4,2096 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,True,1,True,,,,,2021,2016,60610235022016,,38.842837,-121.263525,,,,,,,,
5,2440 CULPEPPER WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,False,1,True,,,,,2021,2006,60610235022006,,38.843071,-121.259344,,,,,,,,
6,2132 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2016,60610235022016,,38.843099,-121.262999,,,,,,,,
7,2231 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,False,1,True,,,,,2021,2017,60610235022017,,38.843619,-121.26192,,,,,,,,
8,2192 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,False,1,True,,,,,2021,2016,60610235022016,,38.843672,-121.262404,,,,,,,,
9,2303 CULPEPPER LN,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,False,1,True,,,,,2021,2017,60610235022017,,38.844091,-121.261202,,,,,,,,
10,805 FAIRYWREN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840123,-121.259843,,,,,,,,
11,2042 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.840642,-121.264297,,,,,,,,
12,2006 OMEGA WAY,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,1004,60610235021004,,38.840682,-121.265202,,,,,,,,
13,2186 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.840677,-121.261004,,,,,,,,
14,1009 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.840791,-121.257757,,,,,,,,
15,901 TURACO CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.841096,-121.259125,,,,,,,,
16,1003 LIMPKIN CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2011,60610235022011,,38.84127,-121.258205,,,,,,,,
17,2282 OMEGA DR,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2012,60610235022012,,38.84137,-121.259318,,,,,,,,
18,2006 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.84143,-121.262472,,,,,,,,
19,2002 GEMSTONE CT,LINCOLN,95648,CA,Placer County,0.172,146994.0,,,,,1,T,,,,,2021,2020,60610235022020,,38.841596,-121.262071,,,,,,,,
